Date,Open,High,Low,Close,Adj Close,Volume
2022-07-12,9.510000,9.855000,9.370000,9.730000,9.730000,1748000
2022-07-13,9.500000,9.840000,9.320000,9.690000,9.690000,1796100
2022-07-14,9.570000,9.640000,9.320000,9.570000,9.570000,1669000
2022-07-15,9.800000,10.000000,9.610000,10.000000,10.000000,2731900
2022-07-18,10.150000,10.460000,9.930000,10.020000,10.020000,4329700
2022-07-19,10.250000,10.680000,9.975000,10.630000,10.630000,1920700
2022-07-20,10.680000,10.930000,10.470000,10.630000,10.630000,3233900
2022-07-21,9.810000,10.450000,9.580000,10.430000,10.430000,4912500
2022-07-22,10.580000,10.764000,9.960000,10.090000,10.090000,2609600
2022-07-25,10.080000,10.080000,9.685000,9.780000,9.780000,1919900
2022-07-26,9.470000,9.484000,9.075000,9.230000,9.230000,3047800
2022-07-27,9.500000,9.810000,9.230000,9.760000,9.760000,2610000
2022-07-28,9.810000,10.240000,9.565000,10.240000,10.240000,2377500
2022-07-29,10.210000,10.820000,10.100000,10.570000,10.570000,2544400
2022-08-01,10.380000,10.730000,10.210000,10.680000,10.680000,1701400
2022-08-02,10.680000,11.020000,10.440000,10.960000,10.960000,2555100
2022-08-03,10.960000,11.500000,10.900000,11.410000,11.410000,2593600
2022-08-04,11.530000,11.540000,10.880000,11.040000,11.040000,4845100
2022-08-05,11.650000,12.020000,11.118000,11.800000,11.800000,5482100
2022-08-08,11.870000,13.750000,11.870000,12.880000,12.880000,4714100
2022-08-09,12.590000,12.778000,11.790000,11.790000,11.790000,2822600
2022-08-10,12.160000,12.640000,11.960000,12.640000,12.640000,2366900
2022-08-11,12.870000,13.340000,12.220000,12.250000,12.250000,3724000
2022-08-12,12.290000,12.915000,12.070000,12.750000,12.750000,2055100
2022-08-15,12.560000,13.030000,12.520000,12.850000,12.850000,1833100
2022-08-16,13.160000,13.599000,12.835000,13.230000,13.230000,2074300
2022-08-17,12.950000,12.965000,12.505000,12.600000,12.600000,2992300
2022-08-18,12.590000,12.730000,11.710000,11.760000,11.760000,2484500
2022-08-19,11.640000,11.770000,10.690000,10.800000,10.800000,3400300
2022-08-22,10.500000,10.640000,9.960000,10.160000,10.160000,3156500
2022-08-23,10.210000,10.500000,10.060000,10.100000,10.100000,2587800
2022-08-24,10.070000,10.300000,9.950000,10.100000,10.100000,2779700
2022-08-25,10.770000,11.940000,10.460000,11.910000,11.910000,17631530
